,dep_delay,arr_delay,difference
1051,154.0,154.0,0.0
1052,12.0,0.0,12.0
1054,284.0,288.0,-4.0
1055,128.0,138.0,-10.0
1056,222.0,246.0,-24.0
1057,207.0,196.0,11.0
1058,191.0,193.0,-2.0
1059,12.0,-1.0,13.0
1060,63.0,69.0,-6.0
1061,291.0,301.0,-10.0
1062,310.0,284.0,26.0
1063,184.0,197.0,-13.0
1064,142.0,148.0,-6.0
1065,161.0,163.0,-2.0
1066,2.0,14.0,-12.0
1067,5.0,-6.0,11.0
1068,14.0,6.0,8.0
1069,101.0,103.0,-2.0
1070,142.0,147.0,-5.0
1071,201.0,196.0,5.0
1072,79.0,70.0,9.0
1073,204.0,177.0,27.0
1074,2.0,-25.0,27.0
1077,187.0,193.0,-6.0
1078,371.0,368.0,3.0
1079,246.0,223.0,23.0
1080,351.0,344.0,7.0
1081,35.0,21.0,14.0
1083,30.0,38.0,-8.0
1084,39.0,30.0,9.0
1090,92.0,84.0,8.0
1091,12.0,8.0,4.0
1092,8.0,-2.0,10.0
1093,16.0,31.0,-15.0
1094,23.0,-2.0,25.0
1095,3.0,-3.0,6.0
1099,66.0,52.0,14.0
1100,51.0,20.0,31.0
1104,6.0,25.0,-19.0
1107,6.0,-18.0,24.0
1109,16.0,-9.0,25.0
1112,3.0,-1.0,4.0
1117,5.0,17.0,-12.0
1121,10.0,2.0,8.0
1122,14.0,-5.0,19.0
1123,26.0,17.0,9.0
1125,25.0,29.0,-4.0
1129,9.0,1.0,8.0
1136,107.0,105.0,2.0
1139,131.0,103.0,28.0
1145,4.0,-1.0,5.0
1146,6.0,-2.0,8.0
1149,92.0,83.0,9.0
1150,1.0,-63.0,64.0
1152,1.0,-12.0,13.0
1153,1.0,-7.0,8.0
1155,109.0,79.0,30.0
1158,5.0,-4.0,9.0
1159,33.0,21.0,12.0
1160,78.0,57.0,21.0
1162,5.0,-18.0,23.0
1163,9.0,1.0,8.0
1169,19.0,13.0,6.0
1173,12.0,-2.0,14.0
1175,9.0,24.0,-15.0
1178,859.0,888.0,-29.0
1180,6.0,1.0,5.0
1181,16.0,9.0,7.0
1186,79.0,69.0,10.0
1188,36.0,21.0,15.0
1189,89.0,82.0,7.0
1190,1.0,0.0,1.0
1194,54.0,35.0,19.0
1195,1.0,-1.0,2.0
1200,55.0,37.0,18.0
1201,52.0,43.0,9.0
1208,48.0,38.0,10.0
1214,145.0,127.0,18.0
1215,111.0,105.0,6.0
1216,5.0,-6.0,11.0
1219,12.0,-1.0,13.0
1221,7.0,-15.0,22.0
1226,23.0,10.0,13.0
1229,7.0,-22.0,29.0
1231,2.0,-19.0,21.0
1235,13.0,-6.0,19.0
1239,22.0,20.0,2.0
1240,19.0,0.0,19.0
1251,4.0,-22.0,26.0
1252,71.0,108.0,-37.0
1255,6.0,14.0,-8.0
1257,3.0,-15.0,18.0
1259,334.0,336.0,-2.0
1260,98.0,88.0,10.0
1261,1.0,-9.0,10.0
1262,52.0,50.0,2.0
1264,18.0,7.0,11.0
1266,87.0,80.0,7.0
1267,124.0,141.0,-17.0
1270,9.0,6.0,3.0
1271,203.0,189.0,14.0
1277,90.0,136.0,-46.0
1278,12.0,5.0,7.0
1279,12.0,37.0,-25.0
1280,70.0,62.0,8.0
1281,59.0,47.0,12.0
1285,33.0,6.0,27.0
1286,28.0,17.0,11.0
1288,8.0,0.0,8.0
1291,4.0,14.0,-10.0
1293,1.0,-2.0,3.0
1295,41.0,32.0,9.0
1296,31.0,56.0,-25.0
1300,5.0,-22.0,27.0
1304,154.0,142.0,12.0
1305,4.0,12.0,-8.0
1308,5.0,-6.0,11.0
1309,74.0,68.0,6.0
1314,3.0,-11.0,14.0
1315,10.0,7.0,3.0
1317,168.0,160.0,8.0
1319,39.0,65.0,-26.0
1320,164.0,158.0,6.0
1325,138.0,128.0,10.0
1334,17.0,-2.0,19.0
1335,5.0,7.0,-2.0
1336,22.0,10.0,12.0
1338,25.0,3.0,22.0
1340,92.0,115.0,-23.0
1341,2.0,-14.0,16.0
1342,118.0,109.0,9.0
1344,13.0,9.0,4.0
1346,2.0,-24.0,26.0
1350,9.0,-1.0,10.0
1351,1.0,-9.0,10.0
1352,19.0,-14.0,33.0
1353,18.0,-16.0,34.0
1354,1.0,-3.0,4.0
1355,1.0,-30.0,31.0
1356,44.0,41.0,3.0
1357,4.0,-4.0,8.0
1359,2.0,9.0,-7.0
1362,25.0,28.0,-3.0
1363,13.0,14.0,-1.0
1364,45.0,44.0,1.0
1365,20.0,4.0,16.0
1366,54.0,77.0,-23.0
1367,78.0,66.0,12.0
1368,38.0,28.0,10.0
1370,54.0,60.0,-6.0
1371,20.0,22.0,-2.0
1373,13.0,-4.0,17.0
1374,29.0,17.0,12.0
1375,9.0,1.0,8.0
1384,15.0,17.0,-2.0
1386,26.0,28.0,-2.0
1390,21.0,24.0,-3.0
1391,145.0,132.0,13.0
1394,28.0,25.0,3.0
1402,36.0,46.0,-10.0
1404,25.0,18.0,7.0
1406,30.0,27.0,3.0
1410,13.0,-1.0,14.0
1411,6.0,-12.0,18.0
1412,131.0,112.0,19.0
1413,103.0,85.0,18.0
1414,2.0,-13.0,15.0
1416,27.0,16.0,11.0
1417,39.0,31.0,8.0
1420,9.0,3.0,6.0
1423,72.0,59.0,13.0
1424,25.0,16.0,9.0
1426,88.0,70.0,18.0
1427,32.0,52.0,-20.0
1428,14.0,-5.0,19.0
1429,3.0,-20.0,23.0
1430,388.0,344.0,44.0
1432,33.0,31.0,2.0
1433,40.0,42.0,-2.0
1434,12.0,-1.0,13.0
1435,144.0,123.0,21.0
1437,48.0,32.0,16.0
1439,16.0,-4.0,20.0
1441,96.0,85.0,11.0
1442,78.0,68.0,10.0
1443,24.0,21.0,3.0
1444,16.0,11.0,5.0
1445,8.0,-2.0,10.0
1446,46.0,19.0,27.0
1448,179.0,172.0,7.0
1450,76.0,51.0,25.0
1451,70.0,71.0,-1.0
1452,26.0,17.0,9.0
1453,17.0,13.0,4.0
1455,4.0,-10.0,14.0
1456,8.0,-1.0,9.0
1458,319.0,322.0,-3.0
1460,43.0,35.0,8.0
1462,245.0,236.0,9.0
1463,241.0,238.0,3.0
1465,29.0,-6.0,35.0
1466,113.0,87.0,26.0
1470,82.0,70.0,12.0
1472,3.0,12.0,-9.0
1475,357.0,343.0,14.0
1476,391.0,364.0,27.0
1481,91.0,97.0,-6.0
1482,101.0,95.0,6.0
1486,4.0,0.0,4.0
1487,1.0,-4.0,5.0
1488,1.0,-4.0,5.0
1494,4.0,-11.0,15.0
1497,9.0,2.0,7.0
1498,5.0,-4.0,9.0
1502,7.0,-1.0,8.0
1503,1.0,-12.0,13.0
1512,19.0,8.0,11.0
1513,13.0,5.0,8.0
1514,15.0,6.0,9.0
1515,5.0,5.0,0.0
1516,14.0,11.0,3.0
1519,12.0,16.0,-4.0
1520,104.0,93.0,11.0
1521,62.0,113.0,-51.0
1522,1.0,-11.0,12.0
1523,91.0,81.0,10.0
1530,13.0,-7.0,20.0
1531,1.0,-14.0,15.0
1535,14.0,-4.0,18.0
1536,4.0,22.0,-18.0
1538,14.0,20.0,-6.0
1541,1.0,-3.0,4.0
1543,10.0,12.0,-2.0
1552,32.0,9.0,23.0
1556,24.0,-14.0,38.0
1557,82.0,63.0,19.0
1558,2.0,8.0,-6.0
1559,54.0,57.0,-3.0
1562,79.0,74.0,5.0
1563,7.0,25.0,-18.0
1564,7.0,13.0,-6.0
1568,10.0,5.0,5.0
1570,3.0,-2.0,5.0
1573,149.0,144.0,5.0
1574,181.0,173.0,8.0
1577,5.0,-4.0,9.0
1578,61.0,53.0,8.0
1579,204.0,200.0,4.0
1580,132.0,120.0,12.0
1581,140.0,135.0,5.0
1582,94.0,106.0,-12.0
1583,53.0,27.0,26.0
1584,31.0,19.0,12.0
1585,1.0,-4.0,5.0
1586,2.0,2.0,0.0
1587,125.0,107.0,18.0
1588,137.0,127.0,10.0
1589,53.0,43.0,10.0
1590,129.0,115.0,14.0
1592,159.0,134.0,25.0
1593,15.0,7.0,8.0
1594,49.0,49.0,0.0
1595,65.0,49.0,16.0
1597,12.0,10.0,2.0
1603,7.0,1.0,6.0
1606,18.0,4.0,14.0
1607,3.0,7.0,-4.0
1608,24.0,22.0,2.0
1609,1.0,-1.0,2.0
1610,2.0,-2.0,4.0
1611,445.0,431.0,14.0
1616,27.0,20.0,7.0
1617,43.0,36.0,7.0
1620,34.0,21.0,13.0
1625,156.0,154.0,2.0
1626,119.0,121.0,-2.0
1627,22.0,15.0,7.0
1628,6.0,-10.0,16.0
1629,66.0,39.0,27.0
1630,25.0,18.0,7.0
1631,17.0,26.0,-9.0
1632,31.0,24.0,7.0
1646,21.0,4.0,17.0
1651,17.0,24.0,-7.0
1654,5.0,-17.0,22.0
1672,94.0,79.0,15.0
1673,129.0,151.0,-22.0
1674,377.0,390.0,-13.0
1677,105.0,81.0,24.0
1680,103.0,96.0,7.0
1681,84.0,71.0,13.0
1686,56.0,41.0,15.0
1687,10.0,-13.0,23.0
1689,42.0,40.0,2.0
1690,35.0,22.0,13.0
1696,27.0,16.0,11.0
1697,14.0,1.0,13.0
1699,25.0,5.0,20.0
1702,5.0,-13.0,18.0
1703,12.0,15.0,-3.0
1704,12.0,-9.0,21.0
1707,11.0,18.0,-7.0
1708,12.0,-2.0,14.0
1713,91.0,87.0,4.0
1714,134.0,116.0,18.0
1715,44.0,83.0,-39.0
1720,2.0,7.0,-5.0
1721,34.0,37.0,-3.0
1722,40.0,24.0,16.0
1723,92.0,83.0,9.0
1732,8.0,-6.0,14.0
1739,3.0,-1.0,4.0
1747,1.0,-21.0,22.0
1749,5.0,-21.0,26.0
1753,52.0,29.0,23.0
1757,9.0,11.0,-2.0
1760,13.0,9.0,4.0
1761,37.0,23.0,14.0
1763,4.0,-1.0,5.0
1771,2.0,-26.0,28.0
1772,17.0,1.0,16.0
1784,12.0,-2.0,14.0
1785,78.0,70.0,8.0
1786,73.0,71.0,2.0
1794,24.0,10.0,14.0
1796,9.0,1.0,8.0
1801,26.0,2.0,24.0
1803,34.0,28.0,6.0
1805,15.0,8.0,7.0
1807,21.0,35.0,-14.0
1809,8.0,-34.0,42.0
1810,19.0,-9.0,28.0
1811,5.0,-19.0,24.0
1813,1.0,-23.0,24.0
1814,6.0,5.0,1.0
1816,12.0,-1.0,13.0
1821,44.0,41.0,3.0
1822,19.0,2.0,17.0
1825,54.0,37.0,17.0
1827,21.0,10.0,11.0
1830,16.0,17.0,-1.0
1844,1.0,2.0,-1.0
1847,9.0,-6.0,15.0
1852,1.0,11.0,-10.0
1858,30.0,33.0,-3.0
1860,2.0,-6.0,8.0
1864,12.0,26.0,-14.0
1868,76.0,58.0,18.0
1870,136.0,130.0,6.0
1871,39.0,44.0,-5.0
1875,162.0,158.0,4.0
1876,40.0,-4.0,44.0
1888,79.0,74.0,5.0
1889,17.0,-11.0,28.0
1893,300.0,278.0,22.0
1898,15.0,11.0,4.0
1899,7.0,4.0,3.0
1901,1.0,10.0,-9.0
1902,4.0,-9.0,13.0
1905,5.0,8.0,-3.0
1908,15.0,20.0,-5.0
1920,5.0,-2.0,7.0
1922,9.0,5.0,4.0
1923,7.0,23.0,-16.0
1930,98.0,133.0,-35.0
1944,4.0,0.0,4.0
1945,17.0,33.0,-16.0
1949,127.0,130.0,-3.0
1956,14.0,2.0,12.0
1965,7.0,1.0,6.0
1975,81.0,58.0,23.0
1985,474.0,461.0,13.0
1989,1.0,-23.0,24.0
1990,1.0,4.0,-3.0
1999,10.0,5.0,5.0
2011,1.0,7.0,-6.0
2015,21.0,17.0,4.0
2016,6.0,16.0,-10.0
2021,12.0,5.0,7.0
2029,17.0,26.0,-9.0
2030,77.0,53.0,24.0
2031,14.0,10.0,4.0
2043,14.0,8.0,6.0
2052,23.0,49.0,-26.0
2055,50.0,42.0,8.0
2056,7.0,15.0,-8.0
2057,25.0,14.0,11.0
2060,86.0,86.0,0.0
2065,43.0,30.0,13.0
2066,26.0,19.0,7.0
2069,4.0,-6.0,10.0
2070,20.0,11.0,9.0
2075,79.0,77.0,2.0
2076,83.0,67.0,16.0
2077,9.0,0.0,9.0
2078,37.0,29.0,8.0
2081,23.0,30.0,-7.0
2084,22.0,16.0,6.0
2087,8.0,4.0,4.0
2089,3.0,4.0,-1.0
2094,1.0,9.0,-8.0
2096,5.0,6.0,-1.0
2097,3.0,17.0,-14.0
2110,6.0,9.0,-3.0
2118,2.0,-16.0,18.0
2119,8.0,10.0,-2.0
2128,1.0,26.0,-25.0
2133,69.0,62.0,7.0
2134,1.0,29.0,-28.0
2135,123.0,112.0,11.0
2147,294.0,275.0,19.0
2154,16.0,29.0,-13.0
2155,2.0,-15.0,17.0
2156,41.0,14.0,27.0
2160,5.0,-5.0,10.0
2161,5.0,-6.0,11.0
2162,2.0,3.0,-1.0
2168,10.0,1.0,9.0
2170,5.0,-5.0,10.0
2171,4.0,5.0,-1.0
2172,9.0,7.0,2.0
2173,10.0,-2.0,12.0
2176,8.0,-6.0,14.0
2177,15.0,0.0,15.0
2178,6.0,-7.0,13.0
2179,22.0,10.0,12.0
2182,24.0,31.0,-7.0
2185,36.0,31.0,5.0
2186,32.0,40.0,-8.0
2187,15.0,9.0,6.0
2188,1.0,2.0,-1.0
2189,21.0,24.0,-3.0
2190,48.0,42.0,6.0
2195,19.0,13.0,6.0
2197,11.0,5.0,6.0
2200,25.0,23.0,2.0
2203,9.0,-11.0,20.0
2208,14.0,12.0,2.0
2209,8.0,-13.0,21.0
2211,63.0,58.0,5.0
2213,6.0,-5.0,11.0
2218,3.0,1.0,2.0
2219,13.0,10.0,3.0
2220,9.0,4.0,5.0
2221,7.0,3.0,4.0
2224,7.0,28.0,-21.0
2225,49.0,30.0,19.0
2226,20.0,10.0,10.0
2227,81.0,73.0,8.0
2228,70.0,52.0,18.0
2230,13.0,10.0,3.0
2231,56.0,51.0,5.0
2232,2.0,-6.0,8.0
2237,2.0,-1.0,3.0
2242,9.0,-23.0,32.0
2246,54.0,48.0,6.0
2250,7.0,10.0,-3.0
2252,16.0,-1.0,17.0
2254,9.0,-23.0,32.0
2264,18.0,5.0,13.0
2267,34.0,21.0,13.0
