,crs_dep_time,taxi_out,crs_arr_time,taxi_in
106,1902,10.0,2135,12.0
107,815,10.0,1122,5.0
108,1402,14.0,1614,12.0
109,1835,20.0,2223,30.0
110,1515,16.0,1732,6.0
111,1210,20.0,1439,7.0
112,1512,11.0,1552,8.0
113,1759,30.0,2002,11.0
114,2353,18.0,255,6.0
115,1250,16.0,1553,5.0
116,1629,16.0,1800,27.0
117,1550,11.0,1600,10.0
118,1315,59.0,1516,5.0
119,1500,23.0,1644,7.0
120,1830,22.0,2136,6.0
121,922,27.0,1110,10.0
122,2125,12.0,2310,16.0
123,1625,12.0,1738,3.0
124,1815,16.0,1933,28.0
125,1840,25.0,2044,8.0
126,1542,16.0,1859,4.0
127,1936,11.0,2130,13.0
128,830,12.0,1023,9.0
129,1732,16.0,1815,3.0
130,725,36.0,739,13.0
131,2220,14.0,2313,5.0
132,1816,15.0,1936,15.0
133,1648,33.0,1751,2.0
134,1215,20.0,1438,8.0
135,1145,21.0,1304,4.0
136,1435,10.0,1622,64.0
137,1220,22.0,1404,7.0
138,1318,14.0,1440,14.0
139,1755,20.0,1816,11.0
140,1455,25.0,1544,5.0
141,1520,12.0,1726,4.0
142,1240,17.0,1305,5.0
143,1915,21.0,2219,4.0
144,730,30.0,801,16.0
145,1010,21.0,1310,5.0
146,1012,15.0,1357,16.0
147,1145,17.0,1321,4.0
148,705,27.0,910,6.0
149,1343,9.0,1523,5.0
150,1340,17.0,1439,8.0
151,705,31.0,848,7.0
152,950,31.0,1322,7.0
153,1700,15.0,1841,10.0
154,1515,16.0,1815,8.0
155,1900,13.0,2154,19.0
156,1315,26.0,1604,4.0
157,1805,23.0,1910,5.0
158,625,16.0,808,4.0
159,1005,24.0,1528,7.0
160,1810,9.0,1913,3.0
161,2050,16.0,2242,5.0
162,600,30.0,811,10.0
163,1240,53.0,1630,11.0
164,1741,17.0,1750,12.0
165,1510,21.0,1711,8.0
166,1045,17.0,1239,15.0
167,1819,15.0,1935,15.0
168,1643,20.0,1754,4.0
169,753,34.0,855,11.0
170,2149,14.0,2320,7.0
171,1834,24.0,2138,4.0
172,2137,18.0,2353,6.0
173,739,37.0,819,7.0
174,820,21.0,1120,5.0
175,1146,14.0,1310,12.0
176,1203,18.0,1541,10.0
177,915,44.0,1133,4.0
178,1648,13.0,1904,11.0
179,1205,27.0,1349,7.0
180,1430,19.0,1618,5.0
181,1100,34.0,1233,7.0
182,1305,23.0,1444,20.0
183,1422,13.0,1547,12.0
184,1220,12.0,1352,6.0
185,700,25.0,959,4.0
186,1035,12.0,1214,10.0
187,949,21.0,1056,11.0
188,2231,20.0,2255,5.0
189,1740,27.0,1744,5.0
190,1809,19.0,2024,14.0
191,1545,21.0,1629,12.0
192,1740,11.0,1904,3.0
193,1747,30.0,1944,5.0
194,1540,15.0,1718,8.0
195,600,22.0,820,10.0
196,1114,41.0,1249,3.0
197,1010,63.0,1209,4.0
198,1250,15.0,1443,10.0
199,1247,14.0,1542,4.0
200,1105,24.0,1222,3.0
201,1453,16.0,1844,5.0
202,1145,12.0,1405,4.0
203,1731,60.0,1855,7.0
204,1545,17.0,1706,5.0
205,1050,13.0,1202,14.0
206,905,14.0,1024,3.0
207,1815,10.0,1940,5.0
208,1517,12.0,1620,8.0
209,1341,21.0,1452,6.0
210,1430,12.0,1551,8.0
211,1245,27.0,1405,5.0
212,1750,75.0,1957,3.0
213,1524,7.0,1655,24.0
214,910,24.0,1026,5.0
215,1105,26.0,1211,5.0
216,1604,27.0,1721,6.0
217,1746,13.0,1915,9.0
218,1605,18.0,1710,3.0
219,1737,8.0,1900,9.0
220,1340,13.0,1709,5.0
221,1055,18.0,1254,13.0
222,815,38.0,944,7.0
223,815,30.0,1030,9.0
224,1055,16.0,1256,4.0
225,1805,28.0,1952,10.0
226,820,18.0,909,5.0
227,925,14.0,1035,2.0
228,1100,10.0,1220,8.0
229,2215,16.0,2325,2.0
230,2000,18.0,2106,3.0
231,2225,21.0,2317,4.0
232,2019,4.0,2128,22.0
233,1555,24.0,1719,15.0
234,1755,21.0,1919,8.0
235,600,23.0,751,5.0
236,1050,13.0,1221,5.0
237,835,20.0,1022,7.0
238,1750,30.0,1953,6.0
239,1505,14.0,1639,8.0
240,1525,45.0,1729,18.0
241,808,30.0,1016,9.0
242,545,17.0,650,6.0
243,620,49.0,758,15.0
244,1504,21.0,1638,8.0
245,700,23.0,815,6.0
246,1000,60.0,1148,5.0
247,1838,16.0,2019,7.0
248,1630,14.0,1803,20.0
249,1225,11.0,1419,7.0
250,1535,13.0,1644,11.0
251,1350,31.0,1456,3.0
252,715,15.0,902,8.0
253,1016,14.0,1130,5.0
254,1320,14.0,1434,9.0
255,830,17.0,1123,4.0
256,1305,17.0,1526,6.0
257,1020,59.0,1204,3.0
258,1300,10.0,1444,10.0
259,610,32.0,734,13.0
260,535,14.0,639,8.0
261,855,15.0,1037,7.0
262,1006,16.0,1130,11.0
263,1051,17.0,1419,10.0
264,1735,13.0,2115,28.0
265,1500,18.0,1800,9.0
266,730,11.0,811,6.0
267,839,5.0,915,8.0
268,1454,19.0,1544,7.0
269,1249,11.0,1339,5.0
270,1715,9.0,1810,6.0
271,1008,8.0,1047,5.0
272,1100,13.0,1142,6.0
273,1210,10.0,1246,7.0
274,1157,11.0,1245,6.0
275,1151,16.0,1240,5.0
276,1832,9.0,1926,7.0
277,1710,12.0,1803,6.0
278,1210,14.0,1254,5.0
279,1322,8.0,1359,6.0
280,931,6.0,1010,12.0
281,1519,10.0,1608,5.0
282,1425,21.0,1513,5.0
283,1607,8.0,1646,5.0
284,1415,21.0,1459,6.0
285,1559,8.0,1638,7.0
286,807,6.0,846,6.0
287,700,9.0,739,7.0
288,1454,12.0,1552,5.0
289,1330,20.0,1425,6.0
290,1109,7.0,1150,5.0
291,1118,13.0,1201,8.0
292,952,12.0,1034,5.0
293,930,7.0,1005,5.0
294,2008,9.0,2045,8.0
295,1310,7.0,1420,11.0
296,1455,9.0,1605,4.0
297,2005,9.0,2115,4.0
298,1745,11.0,1855,2.0
299,1215,7.0,1325,3.0
300,745,13.0,1035,5.0
301,1540,9.0,1830,5.0
302,1000,12.0,1120,3.0
303,1125,17.0,1245,3.0
304,830,12.0,950,2.0
305,2000,10.0,2115,3.0
306,1355,13.0,1510,3.0
307,1655,10.0,1815,3.0
308,1550,12.0,1710,5.0
309,2100,10.0,2220,4.0
310,1320,12.0,1555,3.0
311,645,41.0,800,3.0
312,2235,8.0,2350,4.0
313,1930,8.0,2045,2.0
314,1045,17.0,1200,3.0
315,1555,14.0,1710,4.0
316,1220,14.0,1420,6.0
317,610,21.0,815,5.0
318,2135,12.0,2335,4.0
319,1720,8.0,1925,4.0
320,1845,9.0,2045,10.0
321,1355,10.0,1555,7.0
322,740,15.0,940,12.0
323,1625,9.0,1925,7.0
324,630,23.0,940,8.0
325,1725,8.0,1900,5.0
326,505,31.0,700,6.0
327,1315,8.0,1625,5.0
328,530,23.0,825,3.0
329,1830,9.0,2120,3.0
330,1235,10.0,1520,7.0
331,610,35.0,830,6.0
332,1525,10.0,1735,10.0
333,1130,26.0,1400,4.0
334,730,29.0,1025,4.0
335,1815,10.0,2100,4.0
336,1650,9.0,1830,5.0
337,1020,8.0,1200,4.0
338,540,21.0,725,4.0
339,1955,20.0,2135,5.0
340,1500,11.0,1910,5.0
341,1015,9.0,1215,7.0
342,520,26.0,730,4.0
343,1445,9.0,1645,3.0
344,1020,10.0,1300,11.0
345,600,39.0,910,5.0
346,1620,8.0,1920,6.0
347,1750,10.0,1920,5.0
348,600,27.0,740,4.0
349,1935,11.0,2320,7.0
350,1050,6.0,1435,5.0
351,1050,14.0,1214,6.0
352,840,22.0,1019,7.0
353,1955,16.0,2105,20.0
354,1809,18.0,1920,5.0
355,2033,19.0,2146,5.0
356,1530,65.0,1714,15.0
357,1300,16.0,1501,13.0
358,745,37.0,952,7.0
359,1819,49.0,2002,6.0
360,1816,31.0,1955,4.0
361,1256,18.0,1357,4.0
362,1422,7.0,1538,13.0
363,1445,18.0,1614,3.0
364,1701,9.0,1840,28.0
365,534,8.0,645,6.0
366,1430,20.0,1530,4.0
367,1305,17.0,1401,3.0
368,750,14.0,901,6.0
369,926,10.0,1050,5.0
370,815,24.0,958,13.0
371,2014,24.0,2141,3.0
372,2205,20.0,2306,4.0
373,1755,14.0,1912,10.0
374,1600,17.0,1718,4.0
375,915,27.0,1029,6.0
376,1609,19.0,1723,16.0
377,1439,18.0,1543,3.0
378,1320,7.0,1821,6.0
379,1845,33.0,2120,2.0
380,1340,14.0,1825,12.0
381,905,18.0,1130,6.0
382,1820,30.0,2151,10.0
383,1850,45.0,2202,6.0
384,1546,21.0,1916,11.0
385,1100,22.0,1430,16.0
386,1350,35.0,1720,7.0
387,805,24.0,1205,2.0
388,1135,12.0,1423,7.0
389,710,26.0,941,9.0
390,815,25.0,1135,14.0
391,1940,32.0,2316,7.0
392,1025,21.0,1329,16.0
393,1955,57.0,2204,6.0
394,830,24.0,1112,6.0
395,700,21.0,1030,11.0
396,1710,19.0,2008,7.0
397,700,13.0,1056,7.0
398,1155,29.0,2035,11.0
399,1700,21.0,2058,9.0
400,805,65.0,1305,4.0
401,935,15.0,1330,6.0
402,1839,33.0,2210,8.0
403,1659,21.0,2008,6.0
404,1925,37.0,2325,9.0
405,645,13.0,1024,5.0
406,905,14.0,1235,9.0
407,1420,21.0,2255,10.0
408,715,15.0,930,7.0
409,700,10.0,934,8.0
410,2036,47.0,2243,6.0
411,1500,11.0,1704,7.0
412,1800,21.0,2026,12.0
413,810,12.0,959,7.0
414,1211,10.0,1329,4.0
415,1409,10.0,1544,10.0
416,2150,28.0,614,2.0
417,1730,18.0,2049,5.0
418,2120,18.0,2253,6.0
419,2229,13.0,2340,3.0
420,600,18.0,713,7.0
421,1905,12.0,2107,7.0
422,2330,13.0,25,6.0
423,1825,13.0,1944,4.0
424,1132,18.0,1245,10.0
425,1325,26.0,1451,6.0
426,1525,11.0,2006,5.0
427,705,25.0,950,11.0
428,540,24.0,902,9.0
429,1120,19.0,1235,12.0
430,530,20.0,732,7.0
431,2040,12.0,11,8.0
432,2123,14.0,2250,4.0
433,1537,13.0,1840,10.0
434,710,17.0,1038,7.0
435,715,15.0,905,16.0
436,1757,14.0,1938,4.0
437,1405,16.0,1718,3.0
438,1010,41.0,1204,4.0
439,1245,9.0,1439,8.0
440,710,19.0,1035,9.0
441,1130,20.0,1441,10.0
442,610,16.0,836,6.0
443,2144,13.0,2330,7.0
444,1623,17.0,1924,4.0
445,1426,9.0,1542,6.0
446,600,14.0,1104,7.0
447,1205,10.0,1303,5.0
448,1400,9.0,1652,6.0
449,1630,13.0,1935,5.0
450,730,12.0,1006,9.0
451,1500,16.0,1653,6.0
452,1755,11.0,1954,7.0
453,800,12.0,1305,5.0
454,545,9.0,734,4.0
455,938,21.0,1700,11.0
456,2011,12.0,2100,4.0
457,1530,39.0,1822,2.0
458,825,18.0,1017,11.0
459,1645,21.0,1833,4.0
460,2225,14.0,16,8.0
461,1620,16.0,1615,2.0
462,1125,15.0,1409,6.0
463,805,23.0,1047,9.0
464,2225,12.0,35,7.0
465,1925,19.0,2102,4.0
466,1130,15.0,1344,6.0
467,1705,15.0,1947,6.0
468,700,9.0,850,7.0
469,1320,11.0,1618,4.0
470,1101,10.0,1159,5.0
471,1235,7.0,1348,4.0
472,735,13.0,855,9.0
473,935,27.0,1100,6.0
474,640,11.0,1438,7.0
475,1353,22.0,2110,8.0
476,910,12.0,1054,6.0
477,1955,13.0,2021,4.0
478,1340,11.0,1455,4.0
479,1530,9.0,1710,5.0
480,1627,15.0,1719,5.0
481,1759,15.0,1858,8.0
482,2300,13.0,51,5.0
483,600,12.0,816,7.0
484,2000,39.0,2145,3.0
485,852,13.0,931,4.0
486,1026,9.0,1255,9.0
487,1035,26.0,1640,4.0
488,1225,16.0,1536,7.0
489,715,30.0,922,14.0
490,1955,8.0,2115,2.0
491,1745,10.0,2000,5.0
492,930,8.0,1150,4.0
493,1635,7.0,1835,4.0
494,555,9.0,830,6.0
495,1440,9.0,1715,6.0
496,1850,9.0,2040,5.0
497,1130,8.0,1310,5.0
498,2130,10.0,2305,4.0
499,605,8.0,745,5.0
500,1725,9.0,1905,7.0
501,2150,8.0,2250,2.0
502,1500,10.0,1750,4.0
503,1030,7.0,1320,3.0
504,1615,9.0,1800,2.0
505,630,14.0,710,5.0
506,1655,12.0,1735,4.0
507,1000,9.0,1040,3.0
508,2050,10.0,2125,4.0
509,605,8.0,830,3.0
510,1300,11.0,1525,3.0
511,1830,10.0,2110,12.0
512,900,8.0,1120,7.0
513,2000,10.0,2220,5.0
514,925,10.0,1210,5.0
515,725,8.0,905,4.0
516,1550,10.0,1730,4.0
517,610,16.0,734,6.0
518,1610,13.0,1807,7.0
519,815,14.0,1407,4.0
520,1915,14.0,2118,8.0
521,810,11.0,1001,4.0
522,1744,16.0,2036,7.0
523,1241,16.0,1822,3.0
524,2024,14.0,2220,11.0
525,1815,15.0,2105,5.0
526,1605,18.0,1831,11.0
527,1747,14.0,2235,8.0
528,1420,23.0,1816,4.0
529,925,18.0,1217,16.0
530,855,34.0,1131,8.0
531,615,10.0,808,32.0
532,1709,25.0,1923,9.0
533,1555,11.0,1810,8.0
534,1825,18.0,1956,18.0
535,2305,18.0,654,6.0
536,1737,35.0,2105,5.0
537,605,13.0,642,10.0
538,705,15.0,1043,6.0
539,1355,15.0,1624,11.0
540,841,13.0,1037,5.0
541,1115,26.0,1245,3.0
542,1035,9.0,1257,16.0
543,600,29.0,1428,15.0
544,947,16.0,1533,23.0
545,1125,21.0,1305,9.0
546,1445,20.0,1611,9.0
547,1209,29.0,1332,4.0
548,2112,13.0,2320,10.0
549,940,18.0,1126,7.0
550,1050,18.0,1218,10.0
551,1803,15.0,1909,4.0
552,1413,12.0,1610,8.0
553,815,19.0,1020,5.0
554,630,13.0,807,39.0
555,955,20.0,1144,22.0
556,755,18.0,908,5.0
557,530,13.0,650,11.0
558,1225,19.0,1404,6.0
559,1350,20.0,1519,8.0
560,1025,18.0,1200,12.0
561,1310,18.0,1443,11.0
562,635,20.0,833,35.0
563,1355,17.0,1603,7.0
564,1000,10.0,1112,5.0
565,815,17.0,1030,9.0
566,600,63.0,726,7.0
567,610,17.0,849,7.0
568,1215,29.0,1303,3.0
569,600,42.0,759,11.0
570,655,16.0,837,10.0
571,1550,13.0,1710,8.0
572,1617,19.0,655,10.0
573,600,40.0,835,11.0
574,820,31.0,841,3.0
575,921,16.0,1130,7.0
576,600,11.0,1059,9.0
577,715,81.0,1023,18.0
578,1817,12.0,1935,7.0
579,700,21.0,1440,6.0
580,805,10.0,1105,47.0
581,1207,14.0,1335,4.0
582,846,13.0,956,3.0
583,1051,18.0,1205,6.0
584,2035,18.0,2326,8.0
585,1110,14.0,1252,7.0
586,840,45.0,1031,6.0
587,600,36.0,756,4.0
588,725,49.0,922,8.0
589,915,15.0,1150,5.0
590,1927,16.0,2105,3.0
591,1706,17.0,1857,8.0
592,1937,16.0,2145,13.0
593,1650,8.0,1939,6.0
594,1510,15.0,1615,6.0
595,2225,9.0,530,8.0
596,820,27.0,1023,5.0
597,700,9.0,956,26.0
598,2000,15.0,2152,5.0
599,1231,13.0,1405,7.0
600,1945,14.0,2237,4.0
601,1300,15.0,1728,7.0
602,2315,25.0,201,3.0
603,2355,13.0,241,5.0
604,1355,21.0,1644,4.0
605,1749,20.0,2235,8.0
606,603,22.0,1048,11.0
607,1835,24.0,2113,4.0
608,114,22.0,557,14.0
609,835,22.0,1131,3.0
610,2357,23.0,430,5.0
611,2125,20.0,13,4.0
612,30,26.0,507,3.0
613,1124,15.0,1600,9.0
614,740,14.0,1025,10.0
615,2205,11.0,58,4.0
616,125,20.0,555,6.0
617,1755,15.0,2048,7.0
618,2335,19.0,556,10.0
619,1010,25.0,1157,2.0
620,1247,4.0,1418,4.0
621,1620,15.0,1808,5.0
622,1856,27.0,1937,3.0
623,2030,5.0,2201,4.0
624,840,3.0,1007,5.0
625,605,17.0,753,4.0
626,545,25.0,652,4.0
627,700,16.0,943,16.0
628,2108,13.0,2200,4.0
629,525,14.0,647,7.0
630,525,14.0,750,21.0
631,1954,35.0,2045,3.0
632,605,26.0,855,9.0
633,1550,15.0,1648,2.0
634,1723,28.0,1834,5.0
635,1045,9.0,1329,8.0
636,1835,22.0,2001,3.0
637,845,34.0,1000,3.0
638,1030,13.0,1145,8.0
639,650,12.0,946,6.0
640,1431,8.0,1620,9.0
641,1225,13.0,1358,3.0
642,2220,23.0,2256,3.0
643,805,25.0,939,13.0
644,700,7.0,935,11.0
645,2025,15.0,2200,3.0
646,1020,22.0,1319,4.0
647,1405,9.0,1538,5.0
648,1635,18.0,1747,4.0
649,1819,11.0,1935,9.0
650,850,22.0,1012,3.0
651,1042,9.0,1202,7.0
652,515,35.0,611,7.0
653,545,47.0,742,10.0
654,1225,17.0,1320,4.0
655,1415,13.0,1549,12.0
656,905,27.0,1037,3.0
657,1114,14.0,1249,11.0
658,835,16.0,928,2.0
659,954,13.0,1236,9.0
660,1645,18.0,1745,2.0
661,1825,18.0,2141,3.0
662,1329,16.0,1514,8.0
663,1555,13.0,1742,12.0
664,1215,18.0,1327,5.0
665,1400,17.0,1520,17.0
666,2050,48.0,2151,2.0
667,1105,28.0,1208,3.0
668,1235,13.0,1344,13.0
669,820,30.0,1128,4.0
670,1125,10.0,1305,11.0
671,1215,11.0,1304,4.0
672,1330,15.0,1426,7.0
673,1327,14.0,1730,76.0
674,1015,18.0,1234,5.0
675,815,7.0,915,18.0
676,2030,31.0,2138,6.0
677,620,14.0,748,11.0
678,718,34.0,749,8.0
679,820,11.0,1058,6.0
680,1128,39.0,1241,6.0
681,700,10.0,1031,6.0
682,2040,14.0,2155,4.0
683,1748,16.0,2034,6.0
684,1435,21.0,1717,13.0
685,1227,21.0,1419,8.0
686,1003,29.0,1157,3.0
687,1830,37.0,2155,5.0
688,1654,19.0,1833,5.0
689,1245,14.0,1344,5.0
690,1425,17.0,1532,8.0
691,2005,19.0,2158,5.0
692,1739,11.0,1750,7.0
693,1505,15.0,1706,4.0
694,600,29.0,731,14.0
695,2005,22.0,2125,5.0
696,617,36.0,750,9.0
697,1024,12.0,1125,25.0
698,704,17.0,953,3.0
699,1700,19.0,1830,7.0
700,1935,10.0,2121,20.0
701,1316,8.0,1431,11.0
702,1155,16.0,1251,2.0
703,1816,16.0,1924,9.0
704,1459,13.0,1746,3.0
705,1650,26.0,1835,4.0
706,1906,13.0,2119,13.0
707,1011,12.0,1125,7.0
708,1730,20.0,1935,6.0
709,550,14.0,755,6.0
710,1945,12.0,2210,8.0
711,1250,8.0,1520,11.0
712,915,18.0,1145,4.0
713,750,11.0,940,3.0
714,1430,14.0,1620,3.0
715,1925,9.0,2155,6.0
716,1950,11.0,2240,6.0
717,1700,11.0,1930,2.0
718,935,16.0,1155,6.0
719,1655,13.0,1800,5.0
720,1110,14.0,1215,19.0
721,2010,7.0,2115,5.0
722,625,13.0,725,6.0
723,1010,10.0,1215,5.0
724,2040,11.0,2255,4.0
725,1310,10.0,1520,4.0
726,1735,10.0,1945,6.0
727,1505,9.0,1720,3.0
728,1605,20.0,1715,10.0
729,945,19.0,1050,3.0
730,1945,9.0,2230,5.0
731,1725,13.0,2030,6.0
732,1805,3.0,2050,7.0
733,2010,13.0,2220,3.0
734,1835,22.0,2210,4.0
735,1555,18.0,1710,14.0
736,1455,11.0,1625,9.0
737,1024,16.0,1150,7.0
738,1940,17.0,2104,10.0
739,1515,13.0,1732,13.0
740,859,43.0,1120,9.0
741,1400,11.0,1659,10.0
742,755,12.0,1057,4.0
743,1000,13.0,1301,5.0
744,600,16.0,900,4.0
745,1449,10.0,1625,5.0
746,1705,10.0,1905,3.0
747,840,14.0,1042,18.0
748,1240,14.0,1442,8.0
749,2200,17.0,2355,6.0
750,1730,15.0,2019,4.0
751,1255,13.0,1546,6.0
752,2200,14.0,2256,4.0
753,1705,17.0,1804,3.0
754,820,14.0,941,3.0
755,1725,20.0,1844,4.0
756,1715,19.0,1849,4.0
757,1725,22.0,1847,4.0
758,1240,24.0,1358,6.0
759,830,21.0,949,6.0
760,2205,17.0,2321,7.0
761,1537,19.0,1840,43.0
762,1553,14.0,1635,6.0
763,2310,16.0,640,8.0
764,2055,19.0,2328,9.0
765,825,34.0,1420,7.0
766,1545,12.0,1752,9.0
767,1555,16.0,1725,8.0
768,1830,23.0,2018,9.0
769,2136,11.0,2350,9.0
770,2126,20.0,2250,5.0
771,600,14.0,900,8.0
772,1633,13.0,1855,8.0
773,1421,15.0,1520,5.0
774,1555,16.0,1854,6.0
775,855,27.0,1012,6.0
776,955,13.0,1139,6.0
777,1210,10.0,1250,4.0
778,700,21.0,957,7.0
779,1432,18.0,1427,4.0
780,1502,17.0,1708,6.0
781,725,13.0,1059,6.0
782,2205,19.0,2321,3.0
783,1931,15.0,2105,8.0
784,1330,33.0,1635,6.0
785,1002,13.0,1125,5.0
786,2055,19.0,2225,12.0
787,2029,32.0,2140,3.0
788,2222,12.0,5,3.0
789,1710,8.0,1928,5.0
790,2331,12.0,31,5.0
791,1720,15.0,1804,3.0
792,2130,22.0,2228,6.0
793,2159,12.0,19,4.0
794,600,67.0,643,14.0
795,950,28.0,1046,8.0
796,937,7.0,1009,6.0
797,606,10.0,719,30.0
798,718,10.0,825,3.0
799,2135,15.0,2235,2.0
800,1745,14.0,1845,4.0
801,1340,4.0,1429,8.0
802,2135,15.0,39,3.0
803,2310,9.0,8,3.0
804,2010,10.0,2046,4.0
805,1834,8.0,1915,3.0
806,1745,15.0,1835,4.0
807,805,26.0,1103,3.0
808,929,16.0,1049,3.0
809,635,8.0,851,4.0
810,1307,11.0,1453,3.0
811,2120,22.0,2209,4.0
812,1221,29.0,1504,5.0
813,756,10.0,855,5.0
814,1929,8.0,2050,54.0
815,600,24.0,658,5.0
816,1332,8.0,1454,7.0
817,805,10.0,1033,13.0
818,1645,34.0,55,37.0
819,1515,34.0,1641,5.0
820,640,15.0,1025,4.0
821,2121,9.0,2327,5.0
822,900,16.0,1027,5.0
823,830,8.0,905,3.0
824,1602,19.0,1819,9.0
825,2328,11.0,714,7.0
826,817,52.0,1136,7.0
827,1211,13.0,1500,6.0
828,2112,18.0,2250,4.0
829,1909,14.0,2159,6.0
830,1910,16.0,2212,13.0
831,1555,17.0,1850,5.0
832,820,12.0,1120,2.0
833,1529,27.0,1701,6.0
834,845,23.0,1017,8.0
835,1252,11.0,1606,9.0
836,2025,15.0,2300,7.0
837,2105,42.0,27,4.0
838,700,18.0,1104,6.0
839,1542,13.0,1849,42.0
840,1729,41.0,1849,5.0
841,1155,34.0,1310,7.0
842,2010,19.0,2258,7.0
843,1107,23.0,1443,10.0
844,1539,15.0,1750,10.0
845,735,12.0,1603,52.0
846,1755,29.0,2120,11.0
847,1600,20.0,1744,13.0
848,1635,15.0,1810,4.0
849,1330,15.0,2128,3.0
850,730,23.0,1107,2.0
851,1340,15.0,1542,44.0
852,1536,24.0,1645,5.0
853,1401,10.0,2128,14.0
854,830,27.0,1231,3.0
855,1332,11.0,1625,4.0
856,1530,27.0,1900,8.0
857,1630,108.0,2021,20.0
858,2005,13.0,2237,4.0
859,1350,18.0,1731,13.0
860,1850,58.0,2235,6.0
861,810,12.0,1412,28.0
862,1710,22.0,1945,4.0
863,1335,13.0,1629,13.0
864,515,14.0,742,13.0
865,845,15.0,1252,13.0
866,2245,24.0,708,5.0
867,1010,12.0,1221,5.0
868,1325,17.0,1730,4.0
869,1635,21.0,1759,11.0
870,1634,24.0,1832,5.0
871,1804,24.0,1915,5.0
872,1950,9.0,2115,6.0
873,1744,10.0,1910,12.0
874,1609,26.0,1717,2.0
875,1055,9.0,1215,7.0
876,2209,13.0,2259,6.0
877,815,7.0,1012,10.0
878,1405,5.0,1715,5.0
879,1306,22.0,1335,1.0
880,1959,23.0,2055,10.0
881,1118,8.0,1229,4.0
882,1959,7.0,2100,23.0
883,1830,33.0,1921,4.0
884,1959,13.0,2138,4.0
885,1800,32.0,1935,7.0
886,1745,20.0,1844,19.0
887,1459,15.0,1649,7.0
888,1745,5.0,1932,12.0
889,1309,22.0,1629,8.0
890,1100,11.0,1239,4.0
891,700,21.0,849,14.0
892,740,15.0,846,2.0
893,920,10.0,1224,22.0
894,2229,12.0,2336,2.0
895,1120,13.0,1224,3.0
896,1859,51.0,2246,10.0
